FID,PAR20CD,PAR20NM,WD20CD,WD20NM,LAD20CD,LAD20NM
10886,W04000695,Pentre,W05000682,Pentre,W06000016,Rhondda Cynon Taf
10887,W04000696,Pen-y-graig,W05000683,Pen-y-graig,W06000016,Rhondda Cynon Taf
10888,W04000697,Pen-y-waun,W05000684,Pen-y-waun,W06000016,Rhondda Cynon Taf
10889,W04001018,Pontypridd,W05000686,Pontypridd Town,W06000016,Rhondda Cynon Taf
10890,W04000700,Porth,W05000687,Porth,W06000016,Rhondda Cynon Taf
10891,W04000685,Hirwaun,W05000688,Rhigos,W06000016,Rhondda Cynon Taf
10892,W04000701,Rhigos,W05000688,Rhigos,W06000016,Rhondda Cynon Taf
10893,W04001018,Pontypridd,W05000689,Rhondda,W06000016,Rhondda Cynon Taf
10894,W04001018,Pontypridd,W05000690,Rhydfelen Central/Ilan,W06000016,Rhondda Cynon Taf
10895,W04000702,Taffs Well,W05000691,Taffs Well,W06000016,Rhondda Cynon Taf
10896,W04001015,Llantwit Fardre,W05000693,Ton-teg,W06000016,Rhondda Cynon Taf
10897,W04000703,Tonypandy,W05000694,Tonypandy,W06000016,Rhondda Cynon Taf
10898,W04000704,Tonyrefail,W05000695,Tonyrefail East,W06000016,Rhondda Cynon Taf
10899,W04000704,Tonyrefail,W05000696,Tonyrefail West,W06000016,Rhondda Cynon Taf
10900,W04001018,Pontypridd,W05000697,Trallwng,W06000016,Rhondda Cynon Taf
10901,W04000707,Trealaw,W05000698,Trealaw,W06000016,Rhondda Cynon Taf
10902,W04001018,Pontypridd,W05000699,Treforest,W06000016,Rhondda Cynon Taf
10903,W04000706,Treherbert,W05000700,Treherbert,W06000016,Rhondda Cynon Taf
10904,W04000708,Treorchy,W05000701,Treorchy,W06000016,Rhondda Cynon Taf
10905,W04000709,Tylorstown,W05000702,Tylorstown,W06000016,Rhondda Cynon Taf
10906,W04000710,Ynyshir,W05000704,Ynyshir,W06000016,Rhondda Cynon Taf
10907,W04000711,Ynysybwl and Coed-y-cwm,W05000705,Ynysybwl,W06000016,Rhondda Cynon Taf
10908,W04000712,Ystrad,W05000706,Ystrad,W06000016,Rhondda Cynon Taf
10909,W04000875,Llanharan,W05000889,Llanharan,W06000016,Rhondda Cynon Taf
10910,W04000876,Llanharry,W05000890,Llanharry,W06000016,Rhondda Cynon Taf
10911,W04000878,Pont-y-clun,W05000891,Pont-y-clun,W06000016,Rhondda Cynon Taf
10912,W04001010,Aberaman South,W05001017,Aberaman South,W06000016,Rhondda Cynon Taf
10913,W04001014,Llantrisant,W05001018,Beddau,W06000016,Rhondda Cynon Taf
10914,W04001015,Llantwit Fardre,W05001019,Church Village,W06000016,Rhondda Cynon Taf
10915,W04001013,Cwmbach,W05001020,Cwmbach,W06000016,Rhondda Cynon Taf
